Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0120382,8,2026-09-09,"The Truman Show","The Truman Show",https://www.imdb.com/title/tt0120382,Movie,8.2,103,1998,"Comedy, Drama",1407280,"1998-06-05","Peter Weir"
tt0765429,8,2026-09-09,"American Gangster","American Gangster",https://www.imdb.com/title/tt0765429,Movie,7.8,157,2007,"Drama, Crime, Biography",493864,"2007-11-02","Ridley Scott"
tt0434409,9,2026-08-10,"V for Vendetta","V for Vendetta",https://www.imdb.com/title/tt0434409,Movie,8.1,132,2005,"Thriller, Action, Drama, Sci-Fi",1256710,"2006-03-17","James McTeigue"
tt0378194,8,2026-07-28,"Kill Bill: Vol. 2","Kill Bill: Vol. 2",https://www.imdb.com/title/tt0378194,Movie,8.0,137,2004,"Thriller, Crime, Action",880662,"2004-04-16","Quentin Tarantino"
tt5221894,9,2026-07-13,"The Other Me","Eteros ego",https://www.imdb.com/title/tt5221894,Movie,7.9,101,2016,"Crime, Mystery, Thriller, Drama",14401,"2017-01-19","Sotiris Tsafoulias"
tt0211915,8,2026-07-05,"Amélie","Le fabuleux destin d'Amélie Poulain",https://www.imdb.com/title/tt0211915,Movie,8.2,122,2001,"Romance, Comedy",847467,"2002-02-08","Jean-Pierre Jeunet"
tt0266697,7,2026-07-05,"Kill Bill: Vol. 1","Kill Bill: Vol. 1",https://www.imdb.com/title/tt0266697,Movie,8.2,111,2003,"Action, Thriller, Crime",1325546,"2003-10-10","Quentin Tarantino"
tt1312221,7,2026-07-05,"Frankenstein","Frankenstein",https://www.imdb.com/title/tt1312221,Movie,7.4,149,2025,"Horror, Sci-Fi, Drama, Fantasy",338361,"2025-11-07","Guillermo del Toro"
tt0119008,8,2026-07-05,"Donnie Brasco","Donnie Brasco",https://www.imdb.com/title/tt0119008,Movie,7.7,127,1997,"Biography, Crime, Drama",360898,"1997-02-28","Mike Newell"
tt0309698,8,2026-05-01,"Identity","Identity",https://www.imdb.com/title/tt0309698,Movie,7.3,90,2003,"Thriller, Mystery",297802,"2003-04-25","James Mangold"
tt31514146,10,2026-04-18,"I Swear","I Swear",https://www.imdb.com/title/tt31514146,Movie,8.3,120,2025,"Drama, Biography",65052,"2026-04-24","Kirk Jones"
tt7131622,7,2026-03-01,"Once Upon a Time in... Hollywood","Once Upon a Time in... Hollywood",https://www.imdb.com/title/tt7131622,Movie,7.6,161,2019,"Drama, Comedy",978953,"2019-07-26","Quentin Tarantino"
tt5013056,8,2026-03-01,"Dunkirk","Dunkirk",https://www.imdb.com/title/tt5013056,Movie,7.8,106,2017,"War, Drama, Action, History, Thriller",827547,"2017-07-21","Christopher Nolan"
tt1663202,7,2026-03-01,"The Revenant","The Revenant",https://www.imdb.com/title/tt1663202,Movie,8.0,156,2015,"Action, Drama, Western",962316,"2016-01-08","Alejandro G. Iñárritu"
tt0816692,9,2025-11-09,"Interstellar","Interstellar",https://www.imdb.com/title/tt0816692,Movie,8.7,169,2014,"Sci-Fi, Adventure",2609349,"2014-11-07","Christopher Nolan"
tt1302006,7,2025-11-08,"The Irishman","The Irishman",https://www.imdb.com/title/tt1302006,Movie,7.8,209,2019,"Crime, Drama, Biography, History, Thriller",479962,"2019-11-27","Martin Scorsese"
tt0407887,8,2025-11-08,"The Departed","The Departed",https://www.imdb.com/title/tt0407887,Movie,8.5,151,2006,"Crime, Drama, Thriller",1579347,"2006-10-06","Martin Scorsese"
tt2582802,7,2025-11-08,"Whiplash","Whiplash",https://www.imdb.com/title/tt2582802,Movie,8.5,106,2014,"Drama, Music",1182368,"2014-10-15","Damien Chazelle"
tt0268978,8,2025-11-08,"A Beautiful Mind","A Beautiful Mind",https://www.imdb.com/title/tt0268978,Movie,8.2,135,2001,"Biography, Mystery, Drama",1064283,"2002-01-04","Ron Howard"
tt15398776,8,2025-11-08,"Oppenheimer","Oppenheimer",https://www.imdb.com/title/tt15398776,Movie,8.2,180,2023,"Biography, Drama, History",1098785,"2023-07-21","Christopher Nolan"
tt0119217,8,2025-04-29,"Good Will Hunting","Good Will Hunting",https://www.imdb.com/title/tt0119217,Movie,8.4,126,1997,"Romance, Drama",1243087,"1998-01-09","Gus Van Sant"
tt0099077,9,2025-04-24,"Awakenings","Awakenings",https://www.imdb.com/title/tt0099077,Movie,7.8,121,1990,"Biography, Drama",178886,"1991-01-11","Penny Marshall"
tt7286456,8,2025-04-23,"Joker","Joker",https://www.imdb.com/title/tt7286456,Movie,8.3,122,2019,"Drama",1726505,"2019-10-04","Todd Phillips"
tt21867434,7,2025-03-16,"BlackBerry","BlackBerry",https://www.imdb.com/title/tt21867434,Movie,7.3,120,2023,"Biography, History, Drama, Comedy",72904,"2023-11-13","Matt Johnson"
tt24458622,8,2025-02-14,"The Six Triple Eight","The Six Triple Eight",https://www.imdb.com/title/tt24458622,Movie,6.7,127,2024,"War, Drama, History",32949,"2024-12-20","Tyler Perry"
tt20215234,7,2025-02-14,"Conclave","Conclave",https://www.imdb.com/title/tt20215234,Movie,7.4,120,2024,"Thriller, Drama",288210,"2024-10-25","Edward Berger"
tt0164334,7,2024-08-17,"Along Came a Spider","Along Came a Spider",https://www.imdb.com/title/tt0164334,Movie,6.4,104,2001,"Crime, Drama, Mystery, Thriller",105054,"2001-04-06","Lee Tamahori"
tt0119468,7,2024-08-17,"Kiss the Girls","Kiss the Girls",https://www.imdb.com/title/tt0119468,Movie,6.6,115,1997,"Crime, Drama, Thriller, Mystery",101562,"1997-10-03","Gary Fleder"
tt2302755,7,2024-08-17,"Olympus Has Fallen","Olympus Has Fallen",https://www.imdb.com/title/tt2302755,Movie,6.5,119,2013,"Action, Thriller",309065,"2013-03-22","Antoine Fuqua"
tt1670345,8,2024-08-17,"Now You See Me","Now You See Me",https://www.imdb.com/title/tt1670345,Movie,7.2,115,2013,"Thriller, Crime, Mystery",778781,"2013-05-31","Louis Leterrier"
tt2872732,7,2024-08-17,"Lucy","Lucy",https://www.imdb.com/title/tt2872732,Movie,6.4,89,2014,"Action, Sci-Fi, Thriller",586112,"2014-07-25","Luc Besson"
tt0996661,10,2024-08-17,"Tsiou...","Tsiou...",https://www.imdb.com/title/tt0996661,Movie,6.9,83,2005,"Comedy, Drama",2820,"2006-03-09","Makis Papadimitratos"
tt0372784,7,2023-08-19,"Batman Begins","Batman Begins",https://www.imdb.com/title/tt0372784,Movie,8.2,140,2005,"Crime",1745269,"2005-06-15","Christopher Nolan"
tt0110912,5,2023-08-13,"Pulp Fiction","Pulp Fiction",https://www.imdb.com/title/tt0110912,Movie,8.8,154,1994,"Crime, Drama",2468770,"1994-10-14","Quentin Tarantino"
tt0099685,7,2023-08-13,"GoodFellas","GoodFellas",https://www.imdb.com/title/tt0099685,Movie,8.7,145,1990,"Biography, Crime, Drama",1413989,"1990-09-21","Martin Scorsese"
tt0482571,9,2023-08-12,"The Prestige","The Prestige",https://www.imdb.com/title/tt0482571,Movie,8.5,130,2006,"Drama, Thriller, Mystery, Sci-Fi",1627389,"2006-10-20","Christopher Nolan"
tt1596363,7,2023-08-08,"The Big Short","The Big Short",https://www.imdb.com/title/tt1596363,Movie,7.8,130,2015,"Drama, Biography, Comedy, History",548263,"2015-12-23","Adam McKay"
tt1895587,9,2023-08-08,"Spotlight","Spotlight",https://www.imdb.com/title/tt1895587,Movie,8.1,129,2015,"Drama, Crime, Biography",541094,"2015-11-20","Tom McCarthy"
tt8482584,8,2023-08-08,"12 Mighty Orphans","12 Mighty Orphans",https://www.imdb.com/title/tt8482584,Movie,6.9,118,2021,"History, Sport, Drama",10057,"2021-06-18","Ty Roberts"
tt0393162,8,2023-08-08,"Coach Carter","Coach Carter",https://www.imdb.com/title/tt0393162,Movie,7.4,136,2005,"Drama, Sport, Biography",195618,"2005-01-14","Thomas Carter"
tt0117913,9,2023-08-08,"A Time to Kill","A Time to Kill",https://www.imdb.com/title/tt0117913,Movie,7.5,149,1996,"Crime, Drama, Thriller",212323,"1996-07-24","Joel Schumacher"
tt1517268,5,2023-08-08,"Barbie","Barbie",https://www.imdb.com/title/tt1517268,Movie,6.8,114,2023,"Comedy, Adventure, Fantasy",706210,"2023-07-21","Greta Gerwig"
tt23149358,10,2023-07-08,"Black Stone","Black Stone",https://www.imdb.com/title/tt23149358,Movie,7.2,87,2022,"Drama, Comedy",1282,"2023-06-08","Spiros Jacovides"
tt6257970,5,2023-02-02,"The End of the F***ing World","The End of the F***ing World",https://www.imdb.com/title/tt6257970,TV Series,8.0,25,2017,"Comedy, Drama, Adventure, Romance, Crime, Thriller",249714,"2017-10-24",
tt1210166,8,2023-02-02,"Moneyball","Moneyball",https://www.imdb.com/title/tt1210166,Movie,7.6,133,2011,"Drama, Sport, Biography",517383,"2011-09-23","Bennett Miller"
tt6315640,8,2023-02-02,"Atypical","Atypical",https://www.imdb.com/title/tt6315640,TV Series,8.2,30,2017,"Comedy, Drama",115201,"2017-08-11",
tt13207736,5,2023-02-02,"Monster","Monster",https://www.imdb.com/title/tt13207736,TV Series,7.7,60,2022,"Crime, Drama, Biography, Thriller, Horror, Mystery",227734,"2022-09-21",
tt0361748,6,2023-02-02,"Inglourious Basterds","Inglourious Basterds",https://www.imdb.com/title/tt0361748,Movie,8.4,153,2009,"War, Drama",1819150,"2009-08-21","Quentin Tarantino"
tt0382625,8,2023-02-02,"The Da Vinci Code","The Da Vinci Code",https://www.imdb.com/title/tt0382625,Movie,6.7,149,2006,"Thriller, Mystery",490460,"2006-05-19","Ron Howard"
tt0264464,9,2023-02-02,"Catch Me If You Can","Catch Me If You Can",https://www.imdb.com/title/tt0264464,Movie,8.1,141,2002,"Drama, Biography, Crime",1265599,"2002-12-25","Steven Spielberg"
tt0362227,8,2023-02-02,"The Terminal","The Terminal",https://www.imdb.com/title/tt0362227,Movie,7.4,128,2004,"Drama, Comedy, Romance",542325,"2004-06-18","Steven Spielberg"
tt0454921,9,2023-02-02,"The Pursuit of Happyness","The Pursuit of Happyness",https://www.imdb.com/title/tt0454921,Movie,8.0,117,2006,"Drama, Biography",631614,"2006-12-15","Gabriele Muccino"
tt2741602,8,2023-02-02,"The Blacklist","The Blacklist",https://www.imdb.com/title/tt2741602,TV Series,7.9,43,2013,"Crime, Mystery, Drama, Thriller",304256,"2013-09-23",
tt8421350,7,2023-02-02,"Manifest","Manifest",https://www.imdb.com/title/tt8421350,TV Series,7.0,43,2018,"Drama, Mystery, Thriller, Sci-Fi",106997,"2018-09-24",
tt1535109,9,2023-02-02,"Captain Phillips","Captain Phillips",https://www.imdb.com/title/tt1535109,Movie,7.8,134,2013,"Drama, Biography, Thriller, Crime, Action",523056,"2013-10-11","Paul Greengrass"
tt0120689,9,2023-02-02,"The Green Mile","The Green Mile",https://www.imdb.com/title/tt0120689,Movie,8.6,189,1999,"Crime, Fantasy, Mystery, Drama",1586114,"1999-12-10","Frank Darabont"
tt11564570,6,2023-02-02,"Glass Onion","Glass Onion",https://www.imdb.com/title/tt11564570,Movie,7.1,139,2022,"Crime, Thriller, Drama, Mystery, Comedy",533879,"2022-12-23","Rian Johnson"
tt7221388,8,2023-02-02,"Cobra Kai","Cobra Kai",https://www.imdb.com/title/tt7221388,TV Series,8.4,30,2018,"Action, Drama, Comedy, Sport",246856,"2018-05-02",
tt7405458,9,2023-02-02,"A Man Called Otto","A Man Called Otto",https://www.imdb.com/title/tt7405458,Movie,7.5,126,2022,"Comedy, Drama",216073,"2023-01-13","Marc Forster"
tt0120586,9,2023-02-02,"American History X","American History X",https://www.imdb.com/title/tt0120586,Movie,8.5,119,1998,"Drama, Crime",1287258,"1998-11-20","Tony Kaye"
tt0133093,8,2023-02-02,"The Matrix","The Matrix",https://www.imdb.com/title/tt0133093,Movie,8.7,136,1999,"Action, Sci-Fi",2279432,"1999-03-31","Lana Wachowski,Lilly Wachowski"
tt1853728,7,2023-02-02,"Django Unchained","Django Unchained",https://www.imdb.com/title/tt1853728,Movie,8.5,165,2012,"Western, Drama",1914581,"2012-12-25","Quentin Tarantino"
tt0114369,9,2023-02-02,"Seven","Se7en",https://www.imdb.com/title/tt0114369,Movie,8.6,127,1995,"Mystery, Drama, Crime, Thriller",2060562,"1995-09-22","David Fincher"
tt1837492,6,2023-02-02,"13 Reasons Why","13 Reasons Why",https://www.imdb.com/title/tt1837492,TV Series,7.4,60,2017,"Drama, Mystery, Thriller",343419,"2017-03-31",
tt0137523,9,2023-02-02,"Fight Club","Fight Club",https://www.imdb.com/title/tt0137523,Movie,8.8,139,1999,"Drama, Crime, Thriller",2663161,"1999-10-15","David Fincher"
tt1130884,9,2023-02-02,"Shutter Island","Shutter Island",https://www.imdb.com/title/tt1130884,Movie,8.2,138,2010,"Thriller, Mystery",1685356,"2010-02-19","Martin Scorsese"
tt2531336,8,2023-02-02,"Lupin","Lupin",https://www.imdb.com/title/tt2531336,TV Series,7.5,45,2021,"Crime, Drama, Mystery, Action, Thriller",161818,"2021-01-08",
tt3205802,7,2023-02-02,"How to Get Away with Murder","How to Get Away with Murder",https://www.imdb.com/title/tt3205802,TV Series,8.1,45,2014,"Crime, Drama, Mystery, Thriller",180371,"2014-09-25",
tt1375666,8,2023-02-02,"Inception","Inception",https://www.imdb.com/title/tt1375666,Movie,8.8,148,2010,"Sci-Fi, Thriller, Adventure",2870590,"2010-07-16","Christopher Nolan"
tt0993846,9,2023-02-02,"The Wolf of Wall Street","The Wolf of Wall Street",https://www.imdb.com/title/tt0993846,Movie,8.2,180,2013,"Crime, Drama, Biography, Comedy",1826941,"2013-12-25","Martin Scorsese"
tt0109830,10,2023-02-02,"Forrest Gump","Forrest Gump",https://www.imdb.com/title/tt0109830,Movie,8.8,142,1994,"Romance, Drama",2536393,"1994-07-06","Robert Zemeckis"
tt1124373,6,2023-02-02,"Sons of Anarchy","Sons of Anarchy",https://www.imdb.com/title/tt1124373,TV Series,8.5,45,2008,"Drama, Crime, Thriller",360401,"2008-09-03",
tt0068646,8,2023-02-02,"The Godfather","The Godfather",https://www.imdb.com/title/tt0068646,Movie,9.2,175,1972,"Crime, Drama",2257443,"1972-03-24","Francis Ford Coppola"
tt10919420,6,2023-02-02,"Squid Game","Ojing-eo geim",https://www.imdb.com/title/tt10919420,TV Series,7.9,60,2021,"Mystery, Thriller, Drama, Action, Crime",777401,"2021-09-17",
tt2467372,8,2023-02-02,"Brooklyn Nine-Nine","Brooklyn Nine-Nine",https://www.imdb.com/title/tt2467372,TV Series,8.4,22,2013,"Comedy, Crime",424164,"2013-09-17",
tt0111161,10,2023-02-02,"The Shawshank Redemption","The Shawshank Redemption",https://www.imdb.com/title/tt0111161,Movie,9.3,142,1994,"Drama",3240367,"1994-10-14","Frank Darabont"
tt2306299,8,2023-02-02,"Vikings","Vikings",https://www.imdb.com/title/tt2306299,TV Series,8.5,45,2013,"Action, Drama, History, War, Romance, Adventure",650341,"2013-03-03",
tt1632701,8,2023-02-02,"Suits","Suits",https://www.imdb.com/title/tt1632701,TV Series,8.4,45,2011,"Drama, Comedy",550140,"2011-06-23",
tt0898266,9,2023-02-02,"The Big Bang Theory","The Big Bang Theory",https://www.imdb.com/title/tt0898266,TV Series,8.1,22,2007,"Comedy, Romance",946700,"2007-09-24",
tt0460649,8,2023-02-02,"How I Met Your Mother","How I Met Your Mother",https://www.imdb.com/title/tt0460649,TV Series,8.3,22,2005,"Comedy, Romance, Drama",789818,"2005-09-19",
tt0455275,7,2023-02-02,"Prison Break","Prison Break",https://www.imdb.com/title/tt0455275,TV Series,8.3,44,2005,"Mystery, Thriller, Crime, Drama, Action",680720,"2005-08-29",
tt4574334,7,2023-02-02,"Stranger Things","Stranger Things",https://www.imdb.com/title/tt4574334,TV Series,8.6,60,2016,"Drama, Horror, Thriller, Sci-Fi, Mystery, Fantasy",1740161,"2016-07-15",
tt5290382,8,2023-02-02,"Mindhunter","Mindhunter",https://www.imdb.com/title/tt5290382,TV Series,8.6,60,2017,"Thriller, Crime, Drama, Mystery",406227,"2017-10-13",
tt2442560,9,2023-02-02,"Peaky Blinders","Peaky Blinders",https://www.imdb.com/title/tt2442560,TV Series,8.7,60,2013,"Drama, Crime",793525,"2014-09-30",
tt2085059,8,2023-02-02,"Black Mirror","Black Mirror",https://www.imdb.com/title/tt2085059,TV Series,8.7,60,2011,"Drama, Thriller, Sci-Fi, Mystery, Crime",749287,"2011-12-04",
tt7137906,9,2023-02-02,"When They See Us","When They See Us",https://www.imdb.com/title/tt7137906,TV Mini Series,8.8,75,2019,"Drama, Biography, History, Crime",161743,"2019-05-31",
tt0386676,10,2023-02-02,"The Office","The Office",https://www.imdb.com/title/tt0386676,TV Series,9.0,22,2005,"Comedy",850751,"2005-03-24",
